Year,Genre,Count
2018,drama,118
2018,comedy,47
2018,thriller,42
2018,crime,26
2018,biography,26
2018,mystery,24
2018,romance,22
2018,adventure,20
2018,fantasy,18
2018,history,16
2018,action,15
2018,horror,13
2018,music,12
2018,documentary,12
2018,family,11
2018,sci-fi,10
2018,animation,9
2018,sport,8
2018,war,6
2018,western,5
2018,musical,4
2019,drama,96
2019,thriller,36
2019,comedy,33
2019,biography,25
2019,mystery,22
2019,romance,21
2019,crime,20
2019,adventure,18
2019,documentary,17
2019,fantasy,16
2019,action,15
2019,history,15
2019,family,11
2019,horror,11
2019,music,10
2019,sci-fi,10
2019,animation,9
2019,war,7
2019,sport,6
2019,musical,3
2019,western,1
2020,drama,89
2020,thriller,38
2020,comedy,33
2020,mystery,28
2020,horror,27
2020,documentary,20
2020,crime,18
2020,sci-fi,15
2020,biography,15
2020,adventure,13
2020,romance,13
2020,fantasy,12
2020,history,11
2020,action,10
2020,music,8
2020,animation,7
2020,family,6
2020,war,5
2020,western,5
2020,musical,3
2020,sport,2
2021,drama,94
2021,thriller,31
2021,comedy,30
2021,romance,21
2021,biography,19
2021,mystery,19
2021,sci-fi,18
2021,horror,17
2021,documentary,15
2021,fantasy,15
2021,crime,15
2021,action,12
2021,history,12
2021,adventure,12
2021,animation,10
2021,musical,8
2021,family,7
2021,music,7
2021,western,5
2021,sport,2
2021,war,2
2021,unknown,1
2022,drama,97
2022,thriller,44
2022,comedy,44
2022,horror,29
2022,mystery,29
2022,crime,21
2022,fantasy,20
2022,action,19
2022,adventure,19
2022,romance,18
2022,animation,17
2022,biography,16
2022,history,12
2022,family,12
2022,sci-fi,12
2022,documentary,11
2022,music,11
2022,musical,5
2022,war,4
2022,sport,3
2023,drama,82
2023,comedy,37
2023,thriller,31
2023,adventure,20
2023,action,18
2023,horror,18
2023,romance,17
2023,biography,16
2023,history,16
2023,mystery,14
2023,sci-fi,13
2023,crime,11
2023,fantasy,9
2023,documentary,8
2023,animation,8
2023,music,7
2023,family,7
2023,sport,7
2023,war,5
2023,musical,4
2023,western,1
2023,unknown,1
2024,drama,91
2024,thriller,41
2024,comedy,34
2024,horror,27
2024,action,23
2024,crime,21
2024,adventure,20
2024,romance,18
2024,biography,17
2024,mystery,17
2024,animation,12
2024,sci-fi,12
2024,history,12
2024,fantasy,11
2024,documentary,10
2024,family,9
2024,music,8
2024,sport,5
2024,war,2
2024,musical,2
2024,western,1
2025,drama,34
2025,comedy,29
2025,thriller,23
2025,action,19
2025,sci-fi,15
2025,horror,15
2025,adventure,15
2025,animation,10
2025,mystery,9
2025,crime,9
2025,fantasy,9
2025,family,8
2025,romance,6
2025,history,4
2025,music,4
2025,documentary,3
2025,biography,3
2025,war,2
2025,musical,2
2025,sport,2
2025,western,1
